ACCOUNTNO,PROP_TYPE,TX_DIST,PT,SPT,N_GRP,LEA,IMPQUALITY,IMPCONDITIONTYPE,EFFAGE,REMODPCT,BLTASDESCRIPTION,BLTASSTORIES,IMPEXTERIOR,BLTASSF,BEDRMCNT,TOT_BATH,BSMT_TOTAL,BSMT_FIN,BSMT_UNFIN,KITCHENS,ATTGAR,DETGAR,RES_RCNLD,RES_COSTRCN,TOT_RCNLD,TOT_RCN,NEW_PT,MLS_TOTAL_SQFT,HAS_ATTGAR,HAS_DETGAR,HAS_BSMT,BSMT_ISFIN,BSMT_PCTCOMP,IS_REMOD,ACTUAL_AGE,TRUE_VAL
010080026,RS,10,111,111,115,1040,Average,Above Average,44,0.8,Ranch 1 Story,1,Frame Masonry Veneer,2058,3,1.75,0,0,0,1,0,0,111438,221108,122677,269537,RS,2060,0,0,0,0,0,1,122,318300
010110003,RS,10,111,111,115,1040,Average,Average,20,0,Ranch 1 Story,1,Frame Hardboard,988,2,2,988,988,0,1,0,0,128648,162846,128648,162846,RS,2130,0,0,1,1,1,0,48,218100
010110008,RS,10,111,111,115,1040,Average,Above Average,18,0.5,Bi Level 1 Story,1,Frame Vinyl,1040,3,2,1040,1040,0,1,0,1323,187606,226250,187606,226250,RS,2080,0,1,1,1,1,1,44,265660
010110015,RS,10,111,111,115,1040,Average,Above Average,44,0.4,Ranch 1 Story,1,Frame Masonry Veneer,1020,3,1,0,0,0,1,0,0,53913,121975,53913,121975,RS,1020,0,0,0,0,0,1,115,169400
010130004,RS,10,111,111,115,1040,Average,Above Average,44,0.6,1½ Story Fin,2,Frame Masonry Veneer,2418,4,2.5,0,0,0,1,0,0,118340,234802,118340,234802,RS,2750,0,0,0,0,0,1,111,245300
010140006,RS,10,111,111,115,1040,Average,Above Average,18,0.6,Ranch 1 Story,1,Frame Vinyl,1040,3,2.5,1040,1040,0,1,0,0,145767,171895,145767,171895,RS,2080,0,0,1,1,1,1,44,246100
010170010,RSOB,10,111,111,115,1040,Average,Average,44,0,Ranch 1 Story,1.5,Frame Vinyl,2370,4,2,0,0,0,1,0,1320,127830,269345,131197,286179,RSOB,2577,0,1,0,0,0,0,99,256600
010180012,RS,10,111,111,115,1040,Average,Average,44,0,Ranch 1 Story,1,Frame Stucco,1936,4,1,0,0,0,1,0,288,73966,194646,73966,194646,RS,1264,0,1,0,0,0,0,154,40800
010200007,RS,10,111,111,115,1040,Average,Above Average,44,0.6,Ranch 1 Story,1,Frame Masonry Veneer,2088,3,1,0,0,0,1,0,0,107287,212871,107287,212871,RS,2180,0,0,0,0,0,1,122,217800
010220007,RS,10,111,111,115,1040,Below Average,Average,44,0,1½ Story Fin,1.5,Frame Stucco,1984,3,1,0,0,0,1,0,0,45181,145744,45181,145744,RS,2630,0,0,0,0,0,0,137,254200
010230002,RS,10,111,111,115,1040,Average,Average,27,0,Ranch 1 Story,1,Frame Masonry Veneer,1315,2,2,1315,1315,0,2,0,1265,206876,284881,206876,284881,RS,2918,0,1,1,1,1,0,62,262100
010240006,RS,10,111,111,115,1040,Average,Above Average,32,0.5,Ranch 1 Story,1,Frame Vinyl,1932,4,1.5,528,475,53,1,0,500,155468,243518,155468,243518,RS,2461,0,1,1,0,0.8996212121212122,1,73,282400
010240013,RS,10,111,111,115,1040,Average,Average,11.109141518007046,0,Split Level,0,Frame Stucco,1618,3,3,817,776,41,1,600,0,214886,223840,214886,223840,RS,2582,1,0,1,0,0.9498164014687882,0,7,250200
010260005,RS,10,111,111,115,1040,Average,Average,41,0,Ranch 1 Story,1,Frame Vinyl,832,1,1.75,832,832,0,1,0,560,65681,160381,65681,160381,RS,1664,0,1,1,1,1,0,90,207700
010330002,RS,10,111,111,115,1040,Average,Above Average,44,0.6,Ranch 1 Story,1.5,Frame Vinyl,1545,3,1.75,0,0,0,1,480,0,73476,166235,73476,166235,RS,1545,1,0,0,0,0,1,119,165200
010390002,RS,10,111,111,115,1040,Average,Average,26,0,Ranch 1 Story,1,Frame Masonry Veneer,1652,4,2.25,1400,1400,0,1,650,0,196720,277070,196720,277070,RS,3052,1,0,1,1,1,0,61,314900
010410007,RS,10,111,111,115,1040,Below Average,Average,44,0,2 Story,2,Frame Vinyl,1765,4,1,0,0,0,1,0,918,57869,185707,58311,187919,RS,1765,0,1,0,0,0,0,100,177400
010420005,RS,10,111,111,115,1040,Average,Above Average,30,0.6,Ranch 1 Story,1,Frame Vinyl,1222,3,2,0,0,0,1,0,260,101643,144717,101643,144717,RS,1422,0,1,0,0,0,1,68,162500
010470002,RS,10,111,111,115,1040,Average,Above Average,32,0.7,Ranch 1 Story,1,Frame Masonry Veneer,1280,3,1.5,960,768,192,1,0,412,139839,212489,139839,212489,RS,2560,0,1,1,0,0.8,1,105,231200
010470004,RS,10,111,111,115,1040,Average,Above Average,44,0.7,Ranch 1 Story,1,Frame Vinyl,1336,3,1,0,0,0,1,0,520,74854,158839,74854,158839,RS,1336,0,1,0,0,0,1,112,125200
010510020,RS,10,111,111,115,1040,Below Average,Above Average,12,0.9,Ranch 1 Story,1,Frame Vinyl,714,2,1,0,0,0,1,0,0,64219,70648,64219,70648,RS,800,0,0,0,0,0,1,121,131100
010520002,RS,10,111,111,115,1040,Average,Above Average,33,0.8,Ranch 1 Story,1,Frame Masonry Veneer,2142,3,2.75,736,736,0,1,0,294,207749,296710,209504,299901,RS,2878,0,1,1,1,1,1,75,242800
010530014,RS,10,111,111,115,1040,Average,Above Average,21,0.7,Ranch 1 Story,1.5,Frame Masonry Veneer,1818,4,1,0,0,0,1,0,0,155566,188794,155566,188794,RS,1834,0,0,0,0,0,1,73,197700
010550001,RS,10,111,111,115,1040,Average,Average,39,0,Ranch 1 Story,1,Frame Masonry Veneer,1040,2,1.75,1040,1040,0,1,0,0,87792,186792,87792,186792,RS,2724,0,0,1,1,1,0,86,173700
010560004,RS,10,111,111,115,1040,Average,Above Average,32,0.5,Ranch 1 Story,1,Frame Masonry Veneer,1154,2,1,1140,577,563,1,0,336,117686,195039,117686,195039,RS,2294,0,1,1,0,0.506140350877193,1,73,175200
010570010,RS,10,111,111,115,1040,Average,Average,28,0,Ranch 1 Story,1,Frame Vinyl,1100,3,1,0,0,0,1,0,0,81266,121293,81266,121293,RS,1100,0,0,0,0,0,0,65,133500
010580003,RS,10,111,111,115,1040,Average,Above Average,44,0.6,Ranch 1 Story,1,Frame Masonry Veneer,1967,3,1.5,0,0,0,1,0,0,104421,207185,105047,210313,RS,2069,0,0,0,0,0,1,124,180700
010590003,RS,10,111,111,115,1040,Average,Average,12,0,Split Level,1,Frame Vinyl,1527,3,2.5,504,504,0,1,480,0,179180,201933,179180,201933,RS,2031,1,0,1,1,1,0,33,216700
010600008,RS,10,111,111,115,1040,Average,Average,18,0,Split Level,1,Frame Masonry Veneer,1161,3,1.75,594,594,0,1,800,0,152014,187672,152014,187672,RS,1771,1,0,1,1,1,0,44,152869
010610002,RS,10,111,111,115,1040,Average,Average,44,0,2 Story,2,Frame Vinyl,2205,4,3.25,0,0,0,1,624,0,85498,224994,85498,224994,RS,2205,1,0,0,0,0,0,104,161425
010620009,RS,10,111,111,115,1040,Below Average,Above Average,28,0.6,Ranch 1 Story,1,Frame Vinyl,969,2,1,0,0,0,1,0,300,72729,101874,72729,101874,RS,969,0,1,0,0,0,1,74,106300
010630007,RS,10,111,111,115,1040,Average,Average,44,0,Ranch 1 Story,1,Frame Stucco,1242,2,1,0,0,0,1,0,0,48346,127226,48346,127226,RS,1279,0,0,0,0,0,0,122,151600
010670009,RS,10,111,111,115,1040,Average,Above Average,22,0.8,Ranch 1 Story,1,Frame Masonry Veneer,1316,2,2.25,0,0,0,1,0,0,141954,169194,189341,218299,RS,2084,0,0,0,0,0,1,112,311900
010670034,RS,10,111,111,115,1040,Average,Above Average,44,0.8,Ranch 1 Story,1,Frame Masonry Veneer,1899,2,2,196,0,196,1,0,0,116737,206249,116737,206249,RS,2090,0,0,1,0,0,1,112,190500
010670038,RS,10,111,111,115,1040,Average,Average,30,0,Ranch 1 Story,1,Frame Vinyl,1332,2,2,1332,1332,0,1,0,0,132968,207762,135015,211484,RS,2664,0,0,1,1,1,0,69,226500
010670046,RS,10,111,111,115,1040,Average,Above Average,21,0.8,Bi Level 1 Story,1,Frame Vinyl,864,3,2,864,864,0,1,0,0,127237,150398,127237,150398,RS,1728,0,0,1,1,1,1,51,174500
010670057,RS,10,111,111,115,1040,Average,Above Average,23,0.6,Ranch 1 Story,1,Frame Masonry Veneer,1404,2,2,1404,1334,70,2,364,0,203240,251535,203240,251535,RS,2808,1,0,1,0,0.9501424501424501,1,55,265900
010670062,RS,10,111,111,115,1040,Average,Above Average,28,0.8,Ranch 1 Story,1,Frame Vinyl,912,2,1,0,0,0,1,0,0,79668,104455,79668,104455,RS,1057,0,0,0,0,0,1,65,142400
010670107,RS,10,111,111,115,1040,Average,Average,14,0.05,Ranch 1 Story,1,Frame Masonry Veneer,1650,3,1.75,0,0,0,1,360,0,166254,191097,166254,191097,RS,1650,1,0,0,0,0,1,36,175450
010680026,RS,10,111,111,115,1040,Average,Above Average,13,0.75,Split Level,1,Frame Vinyl,1639,6,1.75,975,975,0,1,600,0,207243,230255,207243,230255,RS,2614,1,0,1,1,1,1,51,233000
