PROP_TYPE,TX_DIST,PT,SPT,N_GRP,LEA,IMPQUALITY,IMPCONDITIONTYPE,EFFAGE,REMODPCT,BLTASDESCRIPTION,BLTASSTORIES,IMPEXTERIOR,BLTASSF,BEDRMCNT,TOT_BATH,BSMT_TOTAL,BSMT_FIN,BSMT_UNFIN,KITCHENS,ATTGAR,DETGAR,RES_RCNLD,RES_COSTRCN,TOT_RCNLD,TOT_RCN,NEW_PT,HAS_ATTGAR,HAS_DETGAR,HAS_BSMT,BSMT_ISFIN,BSMT_PCTCOMP,IS_REMOD,ACTUAL_AGE,SF_ROOM,ACCOUNTNO,MLS_TOTAL_SQFT,IMPROVED
RS,10,111,111,115,1040,Average,Average,44,0,Ranch 1 Story,1,Frame Masonry Veneer,1092,2,1,0,0,0,1,0,0,47898,126048,47898,126048,RS,No,No,No,No,0,No,130,546,010080006,1092,95700
RS,10,111,111,115,1040,Average,Above Average,44,0.8,Ranch 1 Story,1,Frame Masonry Veneer,2058,3,1.75,0,0,0,1,0,0,111438,221108,122677,269537,RS,No,No,No,No,0,Yes,122,686.6666666666666,010080026,2060,318300
RS,10,111,111,115,1040,Average,Average,20,0,Ranch 1 Story,1,Frame Hardboard,988,2,2,988,988,0,1,0,0,128648,162846,128648,162846,RS,No,No,Yes,Yes,1,No,48,1065,010110003,2130,218100
RS,10,111,111,115,1040,Average,Above Average,18,0.5,Bi Level 1 Story,1,Frame Vinyl,1040,3,2,1040,1040,0,1,0,1323,187606,226250,187606,226250,RS,No,Yes,Yes,Yes,1,Yes,44,693.3333333333334,010110008,2080,265660
RS,10,111,111,115,1040,Average,Above Average,44,0.4,Ranch 1 Story,1,Frame Masonry Veneer,1020,3,1,0,0,0,1,0,0,53913,121975,53913,121975,RS,No,No,No,No,0,Yes,115,340,010110015,1020,169400
RS,10,111,111,115,1040,Average,Above Average,44,0.6,1½ Story Fin,2,Frame Masonry Veneer,2418,4,2.5,0,0,0,1,0,0,118340,234802,118340,234802,RS,No,No,No,No,0,Yes,111,687.5,010130004,2750,245300
RS,10,111,111,115,1040,Average,Above Average,18,0.6,Ranch 1 Story,1,Frame Vinyl,1040,3,2.5,1040,1040,0,1,0,0,145767,171895,145767,171895,RS,No,No,Yes,Yes,1,Yes,44,693.3333333333334,010140006,2080,246100
RSOB,10,111,111,115,1040,Average,Average,44,0,Ranch 1 Story,1.5,Frame Vinyl,2370,4,2,0,0,0,1,0,1320,127830,269345,131197,286179,RSOB,No,Yes,No,No,0,No,99,644.25,010170010,2577,256600
RS,10,111,111,115,1040,Average,Above Average,44,0.6,Ranch 1 Story,1,Frame Masonry Veneer,2088,3,1,0,0,0,1,0,0,107287,212871,107287,212871,RS,No,No,No,No,0,Yes,122,726.6666666666666,010200007,2180,217800
RS,10,111,111,115,1040,Below Average,Average,44,0,1½ Story Fin,1.5,Frame Stucco,1984,3,1,0,0,0,1,0,0,45181,145744,45181,145744,RS,No,No,No,No,0,No,137,876.6666666666666,010220007,2630,254200
