ACCOUNTNO,PRED_IMP,LAND_VAL,SOLD_PRICE,TOT_VAL,PRED_TOT
010080006,162250.57282263826,99300,195000,230400,261550.57282263826
010140006,199017.34483323243,99800,345900,286900,298817.34483323246
010170010,202357.81971064376,150900,407500,375500,353257.81971064373
010200007,190955.32365520071,97200,315000,290100,288155.3236552007
010260005,173739.03037131915,106300,314000,248100,280039.03037131915
010330002,180791.98849676718,94800,260000,240700,275591.9884967672
010520002,229634.3342326404,113200,362000,389300,342834.3342326404
010560004,195285.2554574997,90800,266000,265900,286085.2554574997
010570010,169449.37663315583,93500,232000,232300,262949.37663315586
010620009,165863.22978587213,92200,204000,217600,258063.22978587213
010630007,164782.96726578672,98300,249900,230200,263082.9672657867
010670038,205112.91981772217,93500,325000,288300,298612.91981772217
010670107,203329.94388458668,97700,280000,295300,301029.9438845867
010710005,191489.43162595038,78000,282000,249400,269489.4316259504
010730003,186346.89448206057,105800,160100,253600,292146.89448206057
010810002,272941.2148094693,108200,390000,396000,381141.2148094693
010820007,164850.47267907436,89400,254000,174500,254250.47267907436
010890010,176684.10961208626,94800,234200,237100,271484.10961208626
010890024,306578.12290712236,108200,360000,506500,414778.12290712236
020030018,288538.540746962,187000,480000,470900,475538.540746962
020120002,195297.4301397386,125400,257500,279900,320697.4301397386
020150035,168199.6242346222,135500,215000,238900,303699.6242346222
020340017,170039.6318668671,131200,259000,234600,301239.6318668671
020340033,147533.8941431592,131200,144000,187700,278733.8941431592
020410016,220528.37517201886,118500,398000,340000,339028.3751720189
020460006,184341.57419417007,140600,228000,252900,324941.57419417007
020480024,187111.20196389692,150200,335050,277700,337311.2019638969
020500008,165476.42318970113,122800,225000,209700,288276.42318970116
020530004,182142.74517359695,121400,280000,266000,303542.74517359695
020550020,155232.93598633085,138100,214900,212900,293332.93598633085
020580012,158223.45041486988,125400,224000,211700,283623.4504148699
020660010,223329.60940853725,126700,338000,303400,350029.6094085373
020670011,204994.90915923566,127800,305000,317900,332794.90915923566
030090008,197482.31844797323,140900,320000,300800,338382.31844797323
030110019,205346.75544960776,157400,294000,337600,362746.75544960774
030120013,166728.04553074975,133500,190000,213600,300228.0455307497
